info_type_id,movie_id,info,title,production_year
3,3349123,Western,"Rough and Ready",1942
3,3255820,Western,"GefÃ¤hrliche Abenteuer",1967
3,3349891,Western,"Gigante Entre Los Hombres",1971
3,3331791,Western,"Lightning Westerns #3: Battlin' Bill",1924
3,3242647,Western,"Trooper K",1917
3,3306545,Western,"Asterix Conquers America",1995
3,3300305,Western,"Reza por tu alma... y muere",1974
3,3228411,Western,"The Pledge",2008
3,3205892,Western,"Die schmutzigen Dreizehn",1969
3,3204280,Western,"Blood at Sundown",1966
3,3248140,Western,"I predoni della cittÃ ",1946
3,3288397,Western,"Die Nacht der Vergeltung",1948
